transaction_id,investor_id,transaction_date_id,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status
29,INV002328,20240101,120841,SIP,29901.0,Haryana,Gurugram,T30,26-35,Male,11.6,Cheque,Verified
30,INV004174,20240101,119599,SIP,57353.0,Rajasthan,Udaipur,B30,18-25,Male,4.7,Mandate,Verified
31,INV004918,20240101,120503,Redemption,153828.0,Punjab,Amritsar,B30,56+,Female,46.9,UPI,Verified
32,INV000478,20240101,120506,SIP,59382.0,Gujarat,Surat,T30,36-45,Female,16.5,UPI,Verified
33,INV000467,20240101,119552,SIP,2623.0,Karnataka,Bangalore,T30,18-25,Female,7.1,Cheque,Verified
34,INV000603,20240101,118636,SIP,2858.0,West Bengal,Kolkata,T30,26-35,Male,17.3,Mandate,Verified
35,INV004770,20240101,102886,Lumpsum,92031.0,Gujarat,Surat,T30,18-25,Female,5.2,Mandate,Verified
36,INV004648,20240101,118634,SIP,17860.0,Maharashtra,Pune,T30,36-45,Male,54.3,Mandate,Pending
37,INV002432,20240101,101208,SIP,3513.0,Haryana,Gurugram,T30,46-55,Female,48.1,Net Banking,Verified
38,INV002338,20240101,120844,Lumpsum,292991.0,Delhi,New Delhi,T30,26-35,Male,23.6,UPI,Verified
39,INV001041,20240101,101208,SIP,8547.0,Madhya Pradesh,Bhopal,B30,18-25,Male,5.1,Cheque,Verified
40,INV001400,20240101,148567,SIP,10696.0,Tamil Nadu,Coimbatore,B30,36-45,Male,36.5,Mandate,Verified
41,INV000852,20240101,101208,SIP,15916.0,Maharashtra,Nashik,B30,26-35,Female,18.1,UPI,Verified
42,INV004915,20240101,120504,SIP,14096.0,Uttar Pradesh,Kanpur,B30,26-35,Male,9.6,Cheque,Verified
43,INV002984,20240101,120844,Redemption,230179.0,Delhi,Gurugram,T30,26-35,Male,18.1,Mandate,Verified
44,INV002782,20240101,102886,Lumpsum,250209.0,Punjab,Chandigarh,T30,18-25,Male,3.7,UPI,Verified
45,INV002316,20240101,118632,SIP,4715.0,Punjab,Amritsar,B30,26-35,Male,16.7,Cheque,Verified
46,INV000097,20240101,125498,Redemption,527377.0,Karnataka,Mysore,B30,18-25,Male,6.0,Net Banking,Verified
47,INV002139,20240101,125498,Redemption,359482.0,Haryana,Gurugram,T30,36-45,Female,28.6,Mandate,Verified
48,INV002219,20240101,101208,Redemption,525983.0,Karnataka,Mysore,B30,26-35,Male,6.9,Mandate,Verified
49,INV000576,20240101,120841,Redemption,43157.0,Delhi,New Delhi,T30,46-55,Male,79.7,UPI,Verified
50,INV002166,20240101,120844,SIP,1139.0,Haryana,Gurugram,T30,36-45,Male,33.3,Net Banking,Verified
51,INV000836,20240101,100016,SIP,1139.0,Haryana,Gurugram,T30,26-35,Male,24.4,Mandate,Verified
52,INV001540,20240101,101207,SIP,16264.0,Maharashtra,Pune,T30,26-35,Female,17.3,UPI,Verified
53,INV003664,20240101,125498,SIP,15555.0,Rajasthan,Udaipur,B30,46-55,Male,29.4,UPI,Verified
54,INV002966,20240101,149324,SIP,15946.0,Gujarat,Ahmedabad,T30,26-35,Female,18.4,Mandate,Verified
55,INV002387,20240101,118634,SIP,2891.0,Telangana,Hyderabad,T30,26-35,Male,13.1,UPI,Verified
56,INV000983,20240101,101206,SIP,3538.0,Telangana,Hyderabad,T30,36-45,Male,33.5,UPI,Verified
57,INV004128,20240101,119094,Redemption,58934.0,Haryana,Faridabad,B30,18-25,Male,3.3,UPI,Verified
58,INV000081,20240101,120844,SIP,1842.0,Gujarat,Surat,T30,36-45,Male,31.0,Net Banking,Verified
59,INV004548,20240101,119551,Lumpsum,564276.0,Delhi,Noida,T30,36-45,Female,58.1,Cheque,Verified
60,INV002253,20240101,120844,Redemption,289915.0,West Bengal,Kolkata,T30,46-55,Male,28.6,Net Banking,Verified
61,INV002942,20240101,148568,Redemption,233200.0,Delhi,Noida,T30,36-45,Male,27.8,Cheque,Verified
62,INV004308,20240101,119599,SIP,25855.0,Gujarat,Surat,T30,26-35,Female,11.1,Mandate,Verified
63,INV000488,20240101,148568,Redemption,343317.0,Karnataka,Mysore,B30,56+,Male,31.4,Cheque,Verified
64,INV002560,20240102,119120,SIP,6321.0,Haryana,Faridabad,B30,26-35,Male,6.4,Net Banking,Verified
65,INV003028,20240102,100033,SIP,25360.0,Tamil Nadu,Chennai,T30,26-35,Female,12.8,Cheque,Verified
66,INV002868,20240102,148569,SIP,59797.0,Gujarat,Ahmedabad,T30,26-35,Female,24.7,Net Banking,Verified
67,INV001156,20240102,120843,SIP,28986.0,Madhya Pradesh,Indore,T30,56+,Female,58.8,Cheque,Pending
68,INV000313,20240102,120843,Lumpsum,497034.0,Tamil Nadu,Chennai,T30,18-25,Female,3.1,Net Banking,Verified
69,INV003926,20240102,118632,SIP,1891.0,West Bengal,Kolkata,T30,46-55,Male,92.8,UPI,Verified
70,INV003383,20240102,125497,Redemption,241316.0,Karnataka,Mysore,B30,18-25,Male,4.6,Net Banking,Verified
71,INV001017,20240102,118632,Redemption,16893.0,West Bengal,Kolkata,T30,26-35,Female,19.0,Cheque,Verified
72,INV003225,20240102,120843,SIP,3346.0,West Bengal,Kolkata,T30,26-35,Male,9.2,UPI,Verified
73,INV003892,20240102,102887,SIP,7250.0,Punjab,Amritsar,B30,46-55,Male,24.4,Mandate,Verified
74,INV002135,20240102,100016,Lumpsum,437305.0,Gujarat,Ahmedabad,T30,56+,Male,18.3,Net Banking,Verified
75,INV002961,20240102,149322,SIP,16811.0,Gujarat,Ahmedabad,T30,26-35,Male,13.0,Net Banking,Verified
76,INV000983,20240102,101208,SIP,10547.0,Telangana,Hyderabad,T30,36-45,Male,33.5,Net Banking,Verified
77,INV003821,20240102,119092,SIP,7584.0,Delhi,Noida,T30,18-25,Female,6.4,UPI,Pending
78,INV002940,20240102,102886,SIP,966.0,Haryana,Faridabad,B30,26-35,Male,18.3,Cheque,Verified
79,INV002817,20240102,102886,Lumpsum,26453.0,Gujarat,Ahmedabad,T30,26-35,Male,15.8,UPI,Verified
80,INV001890,20240102,120504,SIP,859.0,Madhya Pradesh,Bhopal,B30,26-35,Male,21.9,Mandate,Verified
81,INV001888,20240102,120505,Redemption,410786.0,Delhi,New Delhi,T30,18-25,Female,6.4,UPI,Verified
82,INV000370,20240102,118634,SIP,17394.0,Delhi,Noida,T30,26-35,Female,12.4,Mandate,Verified
83,INV002981,20240102,102886,Lumpsum,100110.0,Maharashtra,Mumbai,T30,18-25,Female,7.3,Mandate,Verified
84,INV003027,20240102,148569,Lumpsum,330642.0,Telangana,Hyderabad,T30,26-35,Male,20.8,Cheque,Verified
85,INV001106,20240102,118636,Lumpsum,50410.0,Tamil Nadu,Chennai,T30,26-35,Male,13.1,Net Banking,Verified
86,INV003942,20240102,118632,SIP,16594.0,Haryana,Faridabad,B30,26-35,Female,23.3,Cheque,Verified
87,INV000339,20240102,101207,Redemption,383487.0,Uttar Pradesh,Kanpur,B30,26-35,Male,22.3,Cheque,Verified
88,INV002811,20240102,125497,SIP,2631.0,Uttar Pradesh,Agra,B30,36-45,Male,43.7,Net Banking,Verified
89,INV004296,20240102,100025,SIP,879.0,Telangana,Hyderabad,T30,26-35,Male,18.2,UPI,Verified
90,INV002976,20240102,119599,Lumpsum,234926.0,Tamil Nadu,Coimbatore,B30,26-35,Male,23.7,Mandate,Verified
91,INV000349,20240102,120505,Redemption,335222.0,Maharashtra,Mumbai,T30,18-25,Female,3.8,Mandate,Verified
92,INV002546,20240102,101208,Redemption,22305.0,Gujarat,Surat,T30,26-35,Male,19.3,UPI,Verified
93,INV003505,20240102,120843,Lumpsum,362856.0,West Bengal,Kolkata,T30,56+,Female,53.5,Net Banking,Verified
94,INV000006,20240102,118633,SIP,8594.0,Madhya Pradesh,Bhopal,B30,46-55,Female,43.0,Cheque,Verified
95,INV000662,20240102,120843,SIP,427.0,Gujarat,Surat,T30,36-45,Female,20.1,Cheque,Verified
96,INV001284,20240102,119092,Lumpsum,6499.0,West Bengal,Kolkata,T30,36-45,Male,49.0,Cheque,Verified
97,INV004127,20240102,148568,SIP,4185.0,Madhya Pradesh,Indore,T30,36-45,Female,27.3,Mandate,Verified
98,INV003208,20240102,120506,SIP,2506.0,Madhya Pradesh,Bhopal,B30,46-55,Male,80.0,Mandate,Verified
99,INV002165,20240102,118634,SIP,2539.0,Telangana,Hyderabad,T30,46-55,Male,46.2,Net Banking,Verified
100,INV002621,20240102,148567,SIP,401.0,Uttar Pradesh,Agra,B30,26-35,Female,22.6,UPI,Pending
101,INV004502,20240102,148567,SIP,10492.0,Rajasthan,Udaipur,B30,36-45,Male,59.0,Net Banking,Verified
102,INV001174,20240102,149323,SIP,977.0,Maharashtra,Nashik,B30,36-45,Male,12.7,Cheque,Verified
103,INV004658,20240102,120842,Lumpsum,17258.0,Punjab,Chandigarh,T30,56+,Male,48.7,Cheque,Verified
104,INV004656,20240102,120844,Lumpsum,357937.0,Haryana,Gurugram,T30,18-25,Male,4.7,Mandate,Verified
105,INV003658,20240102,125498,SIP,12014.0,West Bengal,Kolkata,T30,26-35,Male,6.3,UPI,Verified
106,INV003649,20240102,119598,Redemption,483596.0,Haryana,Gurugram,T30,46-55,Female,79.9,Cheque,Verified
107,INV004582,20240102,149323,Lumpsum,249744.0,Tamil Nadu,Chennai,T30,56+,Male,67.1,Net Banking,Verified
108,INV003232,20240102,120842,SIP,9766.0,Maharashtra,Pune,T30,36-45,Female,30.9,Mandate,Verified
109,INV004414,20240102,149324,SIP,14409.0,Uttar Pradesh,Lucknow,T30,26-35,Male,6.6,Mandate,Verified
110,INV001799,20240102,119120,Lumpsum,116421.0,Rajasthan,Udaipur,B30,56+,Female,45.2,Cheque,Verified
111,INV001506,20240102,119552,Lumpsum,19502.0,Delhi,Noida,T30,26-35,Female,16.0,UPI,Verified
112,INV001699,20240102,119095,SIP,1108.0,Madhya Pradesh,Indore,T30,26-35,Male,24.6,Net Banking,Verified
113,INV002196,20240102,148569,SIP,1696.0,Delhi,Gurugram,T30,26-35,Female,23.6,UPI,Verified
114,INV001328,20240102,120842,Redemption,484947.0,Uttar Pradesh,Lucknow,T30,26-35,Male,7.4,Net Banking,Verified
115,INV004567,20240102,120841,SIP,14130.0,Telangana,Hyderabad,T30,56+,Male,75.0,Mandate,Verified
116,INV003865,20240102,149322,SIP,3482.0,Gujarat,Ahmedabad,T30,18-25,Female,3.3,Cheque,Verified
117,INV000105,20240102,119093,SIP,5253.0,Punjab,Chandigarh,T30,56+,Male,41.4,UPI,Verified
118,INV004514,20240102,148568,SIP,16661.0,Haryana,Faridabad,B30,46-55,Male,40.1,Mandate,Verified
119,INV004516,20240102,102885,SIP,1137.0,Haryana,Gurugram,T30,36-45,Male,14.4,Net Banking,Verified
120,INV002374,20240102,118634,Redemption,81173.0,Uttar Pradesh,Kanpur,B30,26-35,Female,8.6,Net Banking,Verified
121,INV001727,20240102,119598,SIP,16687.0,Gujarat,Surat,T30,46-55,Female,74.1,Net Banking,Verified
122,INV002888,20240103,100025,Redemption,259110.0,Rajasthan,Udaipur,B30,26-35,Male,9.2,Net Banking,Pending
123,INV001769,20240103,120506,SIP,889.0,Punjab,Chandigarh,T30,18-25,Male,7.4,Cheque,Pending
124,INV003609,20240103,120843,SIP,16476.0,Karnataka,Mysore,B30,26-35,Male,9.2,Net Banking,Verified
125,INV003571,20240103,149323,SIP,536.0,Haryana,Faridabad,B30,36-45,Male,53.1,UPI,Verified
126,INV001367,20240103,118632,SIP,10274.0,Maharashtra,Nashik,B30,36-45,Male,32.2,Net Banking,Verified
127,INV003178,20240103,119094,Lumpsum,118897.0,Telangana,Hyderabad,T30,46-55,Female,60.9,Cheque,Verified
128,INV002599,20240103,100025,Lumpsum,286111.0,Gujarat,Surat,T30,26-35,Male,11.4,Net Banking,Verified
129,INV003626,20240103,125497,Redemption,483044.0,Madhya Pradesh,Indore,T30,26-35,Male,23.5,Net Banking,Verified
130,INV000690,20240103,148569,Lumpsum,173646.0,Delhi,Gurugram,T30,46-55,Male,98.7,UPI,Verified
131,INV001860,20240103,119092,SIP,1978.0,Karnataka,Mysore,B30,26-35,Female,9.0,Cheque,Verified
132,INV002065,20240103,100025,SIP,47647.0,Rajasthan,Udaipur,B30,46-55,Male,78.6,UPI,Verified
133,INV002708,20240103,120504,Redemption,205486.0,Karnataka,Mysore,B30,26-35,Male,14.0,Mandate,Verified
134,INV004288,20240103,119120,Lumpsum,95676.0,Punjab,Amritsar,B30,18-25,Female,6.1,Mandate,Verified
135,INV004581,20240103,120505,SIP,2292.0,Gujarat,Surat,T30,26-35,Male,14.7,Cheque,Pending
136,INV002467,20240103,125498,SIP,50948.0,Punjab,Chandigarh,T30,36-45,Male,12.3,UPI,Verified
137,INV003670,20240103,120505,SIP,8793.0,Punjab,Chandigarh,T30,36-45,Male,38.4,Mandate,Verified
138,INV004024,20240103,119552,SIP,43121.0,Telangana,Hyderabad,T30,36-45,Male,23.1,UPI,Verified
139,INV000747,20240103,120841,Lumpsum,374549.0,West Bengal,Kolkata,T30,36-45,Female,40.3,Mandate,Verified
140,INV002847,20240103,148567,SIP,4736.0,Haryana,Faridabad,B30,26-35,Male,13.4,Mandate,Verified
141,INV001508,20240103,120503,SIP,7953.0,Tamil Nadu,Coimbatore,B30,46-55,Male,63.3,Cheque,Verified
142,INV004562,20240103,149324,SIP,963.0,Telangana,Hyderabad,T30,26-35,Female,19.0,Cheque,Pending
143,INV001350,20240103,125498,Lumpsum,83480.0,Madhya Pradesh,Bhopal,B30,46-55,Female,31.7,Net Banking,Verified
144,INV002357,20240103,100016,SIP,26713.0,Delhi,Gurugram,T30,26-35,Male,7.8,UPI,Verified
145,INV002059,20240103,101208,Lumpsum,268619.0,Haryana,Faridabad,B30,46-55,Male,95.1,Net Banking,Verified
146,INV000595,20240103,102887,Lumpsum,124825.0,Gujarat,Surat,T30,18-25,Male,7.6,Cheque,Verified
147,INV004391,20240103,118636,SIP,484.0,Maharashtra,Mumbai,T30,26-35,Female,23.3,UPI,Verified
148,INV004733,20240103,102885,SIP,7080.0,Telangana,Hyderabad,T30,18-25,Male,5.4,Net Banking,Pending
149,INV002865,20240103,148569,Redemption,449863.0,Maharashtra,Pune,T30,18-25,Male,3.3,UPI,Verified
150,INV000454,20240103,119599,SIP,15910.0,Uttar Pradesh,Lucknow,T30,18-25,Female,6.6,Net Banking,Verified
151,INV002414,20240103,120507,Lumpsum,396379.0,Gujarat,Surat,T30,26-35,Female,24.1,UPI,Verified
152,INV000321,20240103,149323,SIP,15782.0,Maharashtra,Mumbai,T30,26-35,Male,24.2,Cheque,Verified
153,INV003379,20240103,120841,SIP,1008.0,Uttar Pradesh,Lucknow,T30,36-45,Male,43.2,Cheque,Verified
154,INV004544,20240103,148567,Redemption,410715.0,Maharashtra,Mumbai,T30,36-45,Male,52.1,Cheque,Verified
155,INV000527,20240103,119094,Lumpsum,114021.0,Telangana,Hyderabad,T30,26-35,Male,12.1,Mandate,Verified
156,INV004633,20240103,125498,Lumpsum,296354.0,Telangana,Hyderabad,T30,18-25,Female,4.9,Net Banking,Verified
157,INV003737,20240103,119093,Lumpsum,126721.0,Punjab,Chandigarh,T30,18-25,Male,4.4,Net Banking,Verified
158,INV000679,20240103,149323,Redemption,141968.0,Haryana,Faridabad,B30,46-55,Female,79.1,UPI,Verified
159,INV004357,20240103,125498,SIP,2459.0,Delhi,Gurugram,T30,46-55,Female,55.6,Cheque,Verified
160,INV004941,20240103,120505,Lumpsum,310085.0,Maharashtra,Nashik,B30,26-35,Male,11.0,Net Banking,Verified
161,INV000632,20240103,120844,Lumpsum,246606.0,Delhi,Gurugram,T30,36-45,Male,49.1,UPI,Verified
162,INV000849,20240103,148567,Lumpsum,254442.0,Delhi,Gurugram,T30,56+,Female,32.5,Cheque,Verified
163,INV001167,20240103,118636,SIP,41124.0,Punjab,Amritsar,B30,36-45,Male,26.7,Net Banking,Verified
164,INV000007,20240103,119094,SIP,13603.0,Uttar Pradesh,Kanpur,B30,26-35,Male,21.9,Mandate,Verified
165,INV000431,20240103,120504,SIP,23759.0,Madhya Pradesh,Bhopal,B30,18-25,Female,4.6,Mandate,Verified
166,INV002417,20240103,120842,SIP,2719.0,Tamil Nadu,Coimbatore,B30,26-35,Male,16.8,Mandate,Verified
167,INV000011,20240103,120507,SIP,2230.0,West Bengal,Kolkata,T30,26-35,Male,9.6,Mandate,Verified
168,INV001167,20240103,102886,SIP,8419.0,Punjab,Amritsar,B30,36-45,Male,26.7,UPI,Verified
169,INV000954,20240103,148568,SIP,2224.0,Haryana,Faridabad,B30,26-35,Female,8.3,Cheque,Verified
170,INV002101,20240103,102887,Redemption,234810.0,Uttar Pradesh,Lucknow,T30,26-35,Male,14.7,Mandate,Verified
171,INV000947,20240103,101208,Redemption,281989.0,Delhi,Noida,T30,26-35,Male,11.0,UPI,Verified
172,INV004867,20240103,100033,Lumpsum,331777.0,Karnataka,Bangalore,T30,18-25,Male,7.3,Mandate,Verified
173,INV004125,20240103,100016,SIP,2999.0,Gujarat,Surat,T30,26-35,Male,9.4,Cheque,Verified
174,INV001910,20240103,102886,Redemption,502057.0,Karnataka,Mysore,B30,26-35,Female,15.2,Mandate,Verified
175,INV001411,20240103,102886,SIP,2998.0,Delhi,Gurugram,T30,26-35,Female,7.1,Cheque,Verified
176,INV003326,20240103,125498,SIP,2712.0,Karnataka,Bangalore,T30,36-45,Male,40.9,Mandate,Verified
177,INV004173,20240103,120504,SIP,479.0,West Bengal,Kolkata,T30,26-35,Male,16.9,Mandate,Verified
178,INV004867,20240103,120506,SIP,3082.0,Karnataka,Bangalore,T30,18-25,Male,7.3,UPI,Pending
179,INV001454,20240103,120843,SIP,554.0,Tamil Nadu,Chennai,T30,26-35,Male,9.3,Net Banking,Verified
180,INV003100,20240104,149324,Lumpsum,361700.0,Telangana,Hyderabad,T30,26-35,Male,16.5,Net Banking,Verified
181,INV000215,20240104,120505,Lumpsum,190843.0,Maharashtra,Nashik,B30,26-35,Female,18.3,Mandate,Verified
182,INV003191,20240104,119092,Lumpsum,94475.0,Madhya Pradesh,Bhopal,B30,18-25,Female,6.8,Mandate,Verified
183,INV003946,20240104,120504,Lumpsum,465127.0,Karnataka,Mysore,B30,26-35,Female,9.2,Net Banking,Verified
184,INV000330,20240104,119552,SIP,8747.0,Madhya Pradesh,Bhopal,B30,26-35,Female,11.9,Mandate,Verified
185,INV004797,20240104,125497,Lumpsum,178854.0,Gujarat,Ahmedabad,T30,56+,Male,18.9,Net Banking,Verified
186,INV000330,20240104,120841,Lumpsum,351770.0,Madhya Pradesh,Bhopal,B30,26-35,Female,11.9,Net Banking,Verified
187,INV001128,20240104,120844,Lumpsum,168521.0,West Bengal,Kolkata,T30,36-45,Female,43.2,Cheque,Verified
188,INV002302,20240104,125498,Lumpsum,153713.0,West Bengal,Kolkata,T30,26-35,Male,10.1,UPI,Verified
189,INV002495,20240104,118636,SIP,2727.0,Maharashtra,Nashik,B30,26-35,Male,6.6,Net Banking,Verified
190,INV002158,20240104,120507,Lumpsum,39096.0,Madhya Pradesh,Indore,T30,26-35,Male,14.5,Net Banking,Verified
191,INV000144,20240104,120503,SIP,499.0,Delhi,Noida,T30,26-35,Male,19.1,Net Banking,Verified
192,INV004563,20240104,118634,Lumpsum,38117.0,Gujarat,Surat,T30,46-55,Female,32.2,Cheque,Verified
193,INV002912,20240104,149323,Redemption,520148.0,Maharashtra,Mumbai,T30,26-35,Female,23.6,Net Banking,Verified
194,INV002343,20240104,119093,SIP,1182.0,Punjab,Amritsar,B30,26-35,Male,22.1,Net Banking,Verified
195,INV000091,20240104,120504,SIP,2368.0,Haryana,Gurugram,T30,26-35,Male,14.6,Mandate,Verified
196,INV004688,20240104,120505,Lumpsum,168104.0,West Bengal,Kolkata,T30,26-35,Male,20.7,UPI,Verified
197,INV004321,20240104,120843,SIP,1147.0,West Bengal,Kolkata,T30,26-35,Male,16.0,Mandate,Verified
198,INV001579,20240104,125498,SIP,40657.0,Karnataka,Bangalore,T30,46-55,Male,71.1,UPI,Verified
199,INV003705,20240104,120506,SIP,57004.0,Telangana,Hyderabad,T30,26-35,Male,8.0,UPI,Pending
200,INV000544,20240104,120507,Lumpsum,295246.0,Madhya Pradesh,Bhopal,B30,18-25,Male,3.6,Mandate,Verified
201,INV001997,20240104,120505,SIP,908.0,Delhi,New Delhi,T30,56+,Female,24.8,UPI,Verified
202,INV003707,20240104,120506,SIP,3527.0,Telangana,Hyderabad,T30,36-45,Female,55.5,Mandate,Verified
203,INV000372,20240104,148569,Lumpsum,209421.0,Gujarat,Surat,T30,36-45,Male,12.4,Cheque,Verified
204,INV001331,20240104,120841,SIP,568.0,Gujarat,Ahmedabad,T30,26-35,Male,17.5,Net Banking,Verified
205,INV002033,20240104,102885,SIP,8905.0,Gujarat,Ahmedabad,T30,46-55,Male,18.9,UPI,Verified
206,INV003953,20240104,148569,SIP,58436.0,Maharashtra,Pune,T30,36-45,Male,17.4,Mandate,Verified
207,INV003500,20240104,120505,SIP,2007.0,Maharashtra,Mumbai,T30,26-35,Male,15.5,Mandate,Pending
208,INV003240,20240104,101206,SIP,6686.0,Haryana,Gurugram,T30,26-35,Male,21.7,Net Banking,Pending
209,INV003040,20240104,119598,Lumpsum,468352.0,Karnataka,Bangalore,T30,26-35,Female,15.3,Cheque,Verified
210,INV000663,20240104,148568,SIP,558.0,Haryana,Gurugram,T30,26-35,Female,13.8,Mandate,Pending
211,INV003083,20240104,125497,Lumpsum,201815.0,Madhya Pradesh,Bhopal,B30,56+,Female,41.3,UPI,Verified
212,INV004131,20240104,101208,SIP,2343.0,Uttar Pradesh,Kanpur,B30,26-35,Male,10.3,UPI,Verified
213,INV001806,20240104,102885,SIP,20256.0,Telangana,Hyderabad,T30,36-45,Male,32.6,UPI,Verified
214,INV001190,20240104,118636,SIP,9909.0,Maharashtra,Mumbai,T30,26-35,Male,15.6,Mandate,Verified
215,INV004939,20240104,118635,SIP,25211.0,Punjab,Amritsar,B30,18-25,Male,4.7,Cheque,Verified
216,INV004896,20240104,148567,Lumpsum,22023.0,Uttar Pradesh,Agra,B30,18-25,Female,3.5,Mandate,Verified
217,INV004682,20240104,120841,SIP,571.0,Telangana,Hyderabad,T30,26-35,Female,8.7,Mandate,Verified
218,INV002891,20240104,120842,SIP,2202.0,Haryana,Faridabad,B30,36-45,Female,56.5,Cheque,Verified
219,INV002400,20240104,120506,SIP,11693.0,Punjab,Chandigarh,T30,36-45,Male,15.5,Cheque,Verified
220,INV004138,20240104,119094,SIP,827.0,Madhya Pradesh,Indore,T30,36-45,Male,18.2,Mandate,Verified
221,INV003489,20240104,149323,SIP,11426.0,Rajasthan,Udaipur,B30,26-35,Male,11.4,UPI,Verified
222,INV004602,20240104,120504,SIP,28337.0,Delhi,Noida,T30,26-35,Female,9.4,Cheque,Verified
223,INV004593,20240104,120506,Lumpsum,65501.0,Punjab,Amritsar,B30,26-35,Male,13.7,Net Banking,Verified
224,INV003394,20240104,149322,SIP,13339.0,West Bengal,Kolkata,T30,26-35,Male,14.6,Mandate,Verified
225,INV002056,20240104,119551,SIP,5980.0,Madhya Pradesh,Bhopal,B30,18-25,Female,3.4,Mandate,Verified
226,INV004770,20240104,125497,SIP,8263.0,Gujarat,Surat,T30,18-25,Female,5.2,Net Banking,Verified
227,INV002862,20240104,119092,SIP,1123.0,Telangana,Hyderabad,T30,56+,Male,72.7,Mandate,Verified
228,INV003414,20240104,149322,SIP,2730.0,Maharashtra,Pune,T30,36-45,Female,20.3,Cheque,Verified
229,INV000803,20240104,120505,SIP,4906.0,Karnataka,Mysore,B30,26-35,Female,20.6,Cheque,Verified
230,INV004353,20240104,120844,Lumpsum,20266.0,Uttar Pradesh,Agra,B30,56+,Male,31.2,UPI,Verified
231,INV001553,20240104,120844,Redemption,125745.0,Delhi,Noida,T30,26-35,Male,23.5,Cheque,Verified
232,INV003579,20240104,119599,Lumpsum,518933.0,West Bengal,Kolkata,T30,18-25,Male,4.6,Net Banking,Verified
233,INV003410,20240104,149324,SIP,1826.0,Madhya Pradesh,Indore,T30,26-35,Male,7.7,UPI,Verified
234,INV003409,20240104,125497,Redemption,255163.0,Karnataka,Mysore,B30,46-55,Male,44.2,Net Banking,Verified
